progress_id,project_id,year,water_conserved_lakh_liters,area_covered_hectares,remarks
PR001,P001,2020,45.5,12.3,Dam construction completed in monsoon season
PR002,P002,2021,28.2,8.5,Five farm ponds excavated successfully
PR003,P003,2019,62.8,25.4,Watershed treatment showing good results
PR004,P004,2022,38.6,15.2,Rooftop harvesting systems installed
PR005,P005,2021,18.4,35.6,15000 saplings planted across hillsides
PR006,P006,2023,52.3,18.7,Check dam benefiting 250 families
PR007,P007,2022,31.5,10.8,Farm ponds helping during dry season
PR008,P008,2020,55.9,28.3,Soil erosion reduced by 40 percent
PR009,P009,2023,42.1,6.9,Community tanks and recharge pits built
PR010,P010,2021,22.7,42.1,Green cover increased significantly
PR011,P001,2020,16.3,6.7,structure maintenance completed before rains
PR012,P001,2021,16.6,7.8,monsoon recharge improved near habitations
PR013,P001,2022,21.5,11.2,monsoon recharge improved near habitations
PR014,P001,2023,25.6,10.1,monsoon recharge improved near habitations
PR015,P001,2024,28.5,12.8,monsoon recharge improved near habitations
PR016,P002,2021,14.5,7.4,water availability sustained through lean months
PR017,P002,2022,17.0,6.9,field bund alignment reduced runoff losses
PR018,P002,2023,19.4,9.7,beneficiary groups reported improved irrigation access
PR019,P002,2024,25.2,10.3,structure maintenance completed before rains
PR020,P003,2019,10.4,8.3,beneficiary groups reported improved irrigation access
PR021,P003,2020,12.8,9.1,monsoon recharge improved near habitations
PR022,P003,2021,14.6,10.9,structure maintenance completed before rains
PR023,P003,2022,19.2,13.5,field bund alignment reduced runoff losses
PR024,P003,2023,20.1,15.8,monsoon recharge improved near habitations
PR025,P003,2024,25.8,17.2,field bund alignment reduced runoff losses
PR026,P004,2022,17.7,6.5,community labour participation remained strong
PR027,P004,2023,20.3,6.5,community labour participation remained strong
PR028,P004,2024,24.1,10.0,beneficiary groups reported improved irrigation access
PR029,P005,2021,9.7,11.4,structure maintenance completed before rains
PR030,P005,2022,12.5,15.2,community labour participation remained strong
PR031,P005,2023,14.9,15.3,structure maintenance completed before rains
PR032,P005,2024,19.0,18.5,monsoon recharge improved near habitations
PR033,P006,2023,25.6,10.5,water availability sustained through lean months
PR034,P006,2024,28.6,12.6,structure maintenance completed before rains
PR035,P007,2022,18.8,8.1,field bund alignment reduced runoff losses
PR036,P007,2023,19.1,8.2,beneficiary groups reported improved irrigation access
PR037,P007,2024,25.1,8.9,monsoon recharge improved near habitations
PR038,P008,2020,14.8,9.9,monsoon recharge improved near habitations
PR039,P008,2021,14.0,12.5,water availability sustained through lean months
PR040,P008,2022,17.2,13.3,silt removal increased storage efficiency
PR041,P008,2023,23.3,15.0,community labour participation remained strong
PR042,P008,2024,24.6,15.6,field bund alignment reduced runoff losses
PR043,P009,2023,19.6,8.4,silt removal increased storage efficiency
PR044,P009,2024,24.6,8.4,community labour participation remained strong
PR045,P010,2021,12.9,11.5,silt removal increased storage efficiency
PR046,P010,2022,11.0,13.0,monsoon recharge improved near habitations
PR047,P010,2023,13.9,15.2,water availability sustained through lean months
PR048,P010,2024,17.8,16.8,silt removal increased storage efficiency
PR049,P011,2018,11.4,6.3,structure maintenance completed before rains
PR050,P011,2019,15.1,8.1,monsoon recharge improved near habitations
PR051,P011,2020,16.4,6.9,field bund alignment reduced runoff losses
PR052,P011,2021,18.7,9.6,structure maintenance completed before rains
PR053,P011,2022,19.2,9.9,silt removal increased storage efficiency
PR054,P011,2023,23.1,12.0,water availability sustained through lean months
PR055,P011,2024,28.7,12.7,community labour participation remained strong
PR056,P012,2018,9.0,3.8,water availability sustained through lean months
PR057,P012,2019,9.7,5.8,field bund alignment reduced runoff losses
PR058,P012,2020,11.4,5.8,community labour participation remained strong
PR059,P012,2021,14.4,7.5,field bund alignment reduced runoff losses
PR060,P012,2022,18.5,8.0,silt removal increased storage efficiency
PR061,P012,2023,18.3,9.9,beneficiary groups reported improved irrigation access
PR062,P012,2024,25.2,9.0,community labour participation remained strong
PR063,P013,2019,10.5,10.1,monsoon recharge improved near habitations
PR064,P013,2020,11.6,10.8,beneficiary groups reported improved irrigation access
PR065,P013,2021,12.1,9.9,water availability sustained through lean months
PR066,P013,2022,14.0,12.6,structure maintenance completed before rains
PR067,P013,2023,17.1,14.4,community labour participation remained strong
PR068,P013,2024,21.9,16.5,water availability sustained through lean months
PR069,P014,2019,11.9,6.6,water availability sustained through lean months
PR070,P014,2020,16.3,7.8,field bund alignment reduced runoff losses
PR071,P014,2021,17.4,8.1,monsoon recharge improved near habitations
PR072,P014,2022,20.1,10.3,community labour participation remained strong
PR073,P014,2023,25.6,10.0,water availability sustained through lean months
PR074,P014,2024,30.3,12.0,monsoon recharge improved near habitations
PR075,P015,2020,14.2,4.9,community labour participation remained strong
PR076,P015,2021,13.3,6.7,field bund alignment reduced runoff losses
PR077,P015,2022,15.2,8.9,field bund alignment reduced runoff losses
