village_id,district,village,block,taluka
V001,Ahmednagar,Rahuri,Rahuri Block,Ahmednagar Taluka
V002,Aurangabad,Gangapur,Gangapur Block,Aurangabad Taluka
V003,Kolhapur,Ichalkaranji,Ichalkaranji Block,Kolhapur Taluka
V004,Nagpur,Kamptee,Kamptee Block,Nagpur Taluka
V005,Nashik,Pimpalgaon,Pimpalgaon Block,Nashik Taluka
V006,Pune,Wagholi,Wagholi Block,Pune Taluka
V007,Ratnagiri,Devrukh,Devrukh Block,Ratnagiri Taluka
V008,Satara,Panchgani,Panchgani Block,Satara Taluka
V009,Solapur,Pandharpur,Pandharpur Block,Solapur Taluka
V010,Thane,Kalyan,Kalyan Block,Thane Taluka
