enrollment_id,year,district,village,project_id,households_enrolled,people_enrolled,source
EN001,2018,Pune,Wagholi,P012,14,70,field register
EN002,2018,Nashik,Pimpalgaon,P011,21,84,field register
EN003,2018,Nashik,Pimpalgaon,P011,26,104,field register
EN004,2018,Nashik,Pimpalgaon,P011,19,57,field register
EN005,2018,Pune,Wagholi,P012,12,60,field register
EN006,2018,Nashik,Pimpalgaon,P011,13,39,field register
EN007,2018,Pune,Wagholi,P012,22,88,field register
EN008,2018,Pune,Wagholi,P012,21,63,field register
EN009,2019,Ratnagiri,Devrukh,P003,27,135,field register
EN010,2019,Ratnagiri,Devrukh,P003,28,112,field register
EN011,2019,Ratnagiri,Devrukh,P003,21,63,field register
EN012,2019,Ratnagiri,Devrukh,P013,31,93,field register
EN013,2019,Pune,Wagholi,P012,21,105,field register
EN014,2019,Nashik,Pimpalgaon,P011,25,75,field register
EN015,2019,Nashik,Pimpalgaon,P011,28,112,field register
EN016,2019,Nashik,Pimpalgaon,P011,20,60,field register
EN017,2019,Ahmednagar,Rahuri,P014,29,145,field register
EN018,2019,Ratnagiri,Devrukh,P003,33,99,field register
EN019,2019,Ratnagiri,Devrukh,P013,27,135,field register
EN020,2020,Aurangabad,Gangapur,P016,29,87,field register
EN021,2020,Satara,Panchgani,P015,32,128,field register
EN022,2020,Satara,Panchgani,P015,33,132,field register
EN023,2020,Ratnagiri,Devrukh,P003,31,93,field register
EN024,2020,Satara,Panchgani,P015,28,140,field register
EN025,2020,Aurangabad,Gangapur,P016,26,78,field register
EN026,2020,Nashik,Pimpalgaon,P011,34,170,field register
EN027,2020,Aurangabad,Gangapur,P016,34,136,field register
EN028,2020,Solapur,Pandharpur,P008,40,120,field register
EN029,2020,Ratnagiri,Devrukh,P013,36,180,field register
EN030,2020,Ratnagiri,Devrukh,P013,38,152,field register
EN031,2020,Nashik,Pimpalgaon,P011,37,148,field register
EN032,2020,Solapur,Pandharpur,P008,27,81,field register
EN033,2020,Solapur,Pandharpur,P008,37,148,field register
EN034,2021,Ratnagiri,Devrukh,P013,43,215,field register
EN035,2021,Nashik,Pimpalgaon,P011,46,138,field register
EN036,2021,Aurangabad,Gangapur,P016,46,138,field register
EN037,2021,Pune,Wagholi,P012,41,164,field register
EN038,2021,Satara,Panchgani,P005,40,200,field register
EN039,2021,Ratnagiri,Devrukh,P003,47,141,field register
EN040,2021,Nagpur,Kamptee,P017,41,164,field register
EN041,2021,Pune,Wagholi,P012,39,195,field register
EN042,2021,Nashik,Pimpalgaon,P001,33,132,field register
EN043,2021,Solapur,Pandharpur,P008,45,225,field register
EN044,2021,Ratnagiri,Devrukh,P003,33,99,field register
EN045,2021,Satara,Panchgani,P015,38,152,field register
EN046,2021,Aurangabad,Gangapur,P016,46,138,field register
EN047,2021,Solapur,Pandharpur,P008,43,129,field register
EN048,2021,Ratnagiri,Devrukh,P013,35,175,field register
EN049,2021,Nashik,Pimpalgaon,P001,46,184,field register
EN050,2021,Nagpur,Kamptee,P017,47,188,field register
EN051,2022,Pune,Wagholi,P022,42,168,field register
EN052,2022,Nashik,Pimpalgaon,P021,51,204,field register
EN053,2022,Pune,Wagholi,P012,53,212,field register
EN054,2022,Nashik,Pimpalgaon,P011,42,210,field register
EN055,2022,Nashik,Pimpalgaon,P001,42,210,field register
EN056,2022,Nashik,Pimpalgaon,P001,45,135,field register
EN057,2022,Kolhapur,Ichalkaranji,P010,43,172,field register
EN058,2022,Aurangabad,Gangapur,P016,52,260,field register
EN059,2022,Satara,Panchgani,P005,43,172,field register
EN060,2022,Satara,Panchgani,P015,42,126,field register
EN061,2022,Nagpur,Kamptee,P017,41,123,field register
EN062,2022,Ahmednagar,Rahuri,P004,51,153,field register
EN063,2022,Pune,Wagholi,P012,49,147,field register
EN064,2022,Satara,Panchgani,P015,48,192,field register
EN065,2022,Pune,Wagholi,P022,47,141,field register
EN066,2022,Satara,Panchgani,P015,42,126,field register
EN067,2022,Kolhapur,Ichalkaranji,P020,43,215,field register
EN068,2022,Thane,Kalyan,P019,51,255,field register
EN069,2022,Nashik,Pimpalgaon,P001,53,159,field register
EN070,2022,Satara,Panchgani,P015,45,135,field register
EN071,2023,Ratnagiri,Devrukh,P023,58,174,field register
EN072,2023,Kolhapur,Ichalkaranji,P020,50,250,field register
EN073,2023,Solapur,Pandharpur,P008,51,153,field register
EN074,2023,Ahmednagar,Rahuri,P024,52,208,field register
EN075,2023,Nagpur,Kamptee,P027,60,240,field register
EN076,2023,Aurangabad,Gangapur,P016,54,270,field register
EN077,2023,Solapur,Pandharpur,P018,61,183,field register
EN078,2023,Kolhapur,Ichalkaranji,P020,56,280,field register
EN079,2023,Kolhapur,Ichalkaranji,P010,58,290,field register
EN080,2023,Nagpur,Kamptee,P017,51,255,field register
EN081,2023,Ratnagiri,Devrukh,P003,58,174,field register
EN082,2023,Nagpur,Kamptee,P007,56,224,field register
EN083,2023,Pune,Wagholi,P022,52,208,field register
EN084,2023,Ratnagiri,Devrukh,P003,61,183,field register
EN085,2023,Nagpur,Kamptee,P027,56,280,field register
EN086,2023,Nagpur,Kamptee,P017,59,236,field register
EN087,2023,Pune,Wagholi,P022,56,168,field register
EN088,2023,Aurangabad,Gangapur,P016,56,224,field register
EN089,2023,Ratnagiri,Devrukh,P013,54,216,field register
EN090,2023,Pune,Wagholi,P002,48,144,field register
EN091,2023,Solapur,Pandharpur,P008,56,168,field register
EN092,2023,Nagpur,Kamptee,P027,51,255,field register
EN093,2023,Satara,Panchgani,P015,53,212,field register
EN094,2024,Satara,Panchgani,P025,65,260,field register
EN095,2024,Aurangabad,Gangapur,P006,58,174,field register
EN096,2024,Pune,Wagholi,P032,54,162,field register
EN097,2024,Ahmednagar,Rahuri,P014,59,295,field register
EN098,2024,Nagpur,Kamptee,P017,65,325,field register
EN099,2024,Satara,Panchgani,P025,57,228,field register
EN100,2024,Ahmednagar,Rahuri,P034,58,232,field register
EN101,2024,Nashik,Pimpalgaon,P011,68,204,field register
EN102,2024,Aurangabad,Gangapur,P026,58,232,field register
EN103,2024,Pune,Wagholi,P012,64,192,field register
EN104,2024,Satara,Panchgani,P025,55,220,field register
EN105,2024,Nagpur,Kamptee,P007,65,260,field register
EN106,2024,Solapur,Pandharpur,P028,68,204,field register
EN107,2024,Ahmednagar,Rahuri,P024,57,228,field register
EN108,2024,Ratnagiri,Devrukh,P013,63,315,field register
EN109,2024,Nashik,Pimpalgaon,P021,57,171,field register
EN110,2024,Ratnagiri,Devrukh,P033,61,183,field register
EN111,2024,Solapur,Pandharpur,P018,56,280,field register
EN112,2024,Aurangabad,Gangapur,P026,64,192,field register
EN113,2024,Kolhapur,Ichalkaranji,P030,61,244,field register
EN114,2024,Pune,Wagholi,P012,63,252,field register
EN115,2024,Solapur,Pandharpur,P018,64,320,field register
EN116,2024,Ratnagiri,Devrukh,P003,55,165,field register
EN117,2024,Ahmednagar,Rahuri,P024,59,295,field register
EN118,2024,Ratnagiri,Devrukh,P003,54,270,field register
EN119,2024,Thane,Kalyan,P029,59,236,field register
