soil_record_id,project_id,year,land_treated_hectares,soil_saved_tons,erosion_reduction_percent,soil_moisture_percent,remarks
SM001,P001,2020,17.9,120.6,19.9,18.3,field register measurement verified
SM002,P002,2021,10.7,70.1,20.1,22.1,field register measurement verified
SM003,P003,2019,21.6,156.9,11.4,16.4,field register measurement verified
SM004,P004,2022,16.1,118.0,25.0,22.9,field register measurement verified
SM005,P005,2021,7.9,59.1,23.7,21.7,field register measurement verified
SM006,P006,2023,25.6,159.2,34.5,25.2,field register measurement verified
SM007,P007,2022,11.3,78.0,26.3,25.4,field register measurement verified
SM008,P008,2020,20.6,149.4,19.8,19.6,field register measurement verified
SM009,P009,2023,18.8,120.7,28.9,24.9,field register measurement verified
SM010,P010,2021,9.8,62.1,21.9,22.5,field register measurement verified
SM011,P001,2020,6.6,42.3,20.9,20.9,field register measurement verified
SM012,P001,2021,6.4,50.0,23.4,23.7,field register measurement verified
SM013,P001,2022,10.3,62.4,31.0,22.5,field register measurement verified
SM014,P001,2023,11.7,86.3,29.6,26.1,field register measurement verified
SM015,P001,2024,12.5,98.0,38.3,28.4,field register measurement verified
SM016,P002,2021,6.6,34.3,24.6,22.5,field register measurement verified
SM017,P002,2022,7.0,45.1,30.0,26.0,field register measurement verified
SM018,P002,2023,7.9,57.4,28.9,26.9,field register measurement verified
SM019,P002,2024,11.2,82.2,38.7,27.2,field register measurement verified
SM020,P003,2019,3.6,29.5,11.1,17.9,field register measurement verified
SM021,P003,2020,4.1,27.8,15.7,21.2,field register measurement verified
SM022,P003,2021,4.9,36.6,22.4,23.7,field register measurement verified
SM023,P003,2022,7.0,55.3,27.9,25.7,field register measurement verified
SM024,P003,2023,9.9,67.6,30.4,25.7,field register measurement verified
SM025,P003,2024,11.6,88.6,39.6,26.6,field register measurement verified
SM026,P004,2022,6.6,47.3,25.7,24.0,field register measurement verified
SM027,P004,2023,9.3,58.0,28.5,25.8,field register measurement verified
SM028,P004,2024,10.8,77.8,39.6,28.9,field register measurement verified
SM029,P005,2021,4.1,29.4,24.4,20.2,field register measurement verified
SM030,P005,2022,6.6,41.5,30.2,25.4,field register measurement verified
SM031,P005,2023,6.4,43.9,29.2,26.7,field register measurement verified
SM032,P005,2024,7.6,53.2,34.4,26.7,field register measurement verified
SM033,P006,2023,11.5,74.4,28.5,24.6,field register measurement verified
SM034,P006,2024,12.7,93.1,33.1,29.7,field register measurement verified
SM035,P007,2022,7.7,44.7,25.9,23.5,field register measurement verified
SM036,P007,2023,7.5,47.3,34.4,28.2,field register measurement verified
SM037,P007,2024,10.6,73.2,33.5,26.4,field register measurement verified
SM038,P008,2020,5.4,35.6,21.1,18.7,field register measurement verified
SM039,P008,2021,4.4,46.9,23.4,20.6,field register measurement verified
SM040,P008,2022,7.5,42.3,27.8,26.1,field register measurement verified
SM041,P008,2023,11.4,74.4,30.3,25.5,field register measurement verified
SM042,P008,2024,10.4,82.9,36.6,29.3,field register measurement verified
SM043,P009,2023,8.3,55.2,34.2,28.1,field register measurement verified
SM044,P009,2024,12.4,83.5,38.6,29.1,field register measurement verified
SM045,P010,2021,4.5,36.5,22.2,20.1,field register measurement verified
SM046,P010,2022,3.4,28.7,25.9,24.9,field register measurement verified
SM047,P010,2023,7.6,41.7,35.1,28.1,field register measurement verified
SM048,P010,2024,9.6,54.5,34.4,27.0,field register measurement verified
SM049,P011,2018,3.4,23.9,10.9,17.8,field register measurement verified
SM050,P011,2019,6.9,39.9,15.5,19.4,field register measurement verified
SM051,P011,2020,5.5,48.7,21.7,21.3,field register measurement verified
SM052,P011,2021,8.8,54.5,20.9,23.3,field register measurement verified
SM053,P011,2022,8.1,64.1,30.9,23.7,field register measurement verified
SM054,P011,2023,10.5,81.6,33.6,24.7,field register measurement verified
SM055,P011,2024,12.9,89.8,39.2,29.4,field register measurement verified
SM056,P012,2018,2.0,25.7,13.4,16.8,field register measurement verified
SM057,P012,2019,3.0,23.7,11.8,16.1,field register measurement verified
SM058,P012,2020,5.5,30.7,19.0,21.9,field register measurement verified
SM059,P012,2021,5.3,43.5,25.5,20.9,field register measurement verified
SM060,P012,2022,6.6,46.3,25.8,24.5,field register measurement verified
SM061,P012,2023,6.8,50.1,29.4,27.8,field register measurement verified
SM062,P012,2024,10.3,73.1,37.0,29.8,field register measurement verified
SM063,P013,2019,4.4,38.7,14.4,18.2,field register measurement verified
SM064,P013,2020,5.4,28.4,18.4,18.8,field register measurement verified
SM065,P013,2021,4.4,45.1,20.9,22.0,field register measurement verified
SM066,P013,2022,7.7,49.4,26.4,24.2,field register measurement verified
SM067,P013,2023,9.2,66.5,29.2,26.4,field register measurement verified
SM068,P013,2024,11.3,78.4,38.3,28.1,field register measurement verified
SM069,P014,2019,4.9,36.3,17.3,17.9,field register measurement verified
SM070,P014,2020,7.0,45.8,18.9,20.9,field register measurement verified
SM071,P014,2021,7.3,51.7,23.0,24.0,field register measurement verified
SM072,P014,2022,9.6,68.1,30.7,23.1,field register measurement verified
SM073,P014,2023,12.1,89.5,34.4,24.6,field register measurement verified
SM074,P014,2024,13.6,100.1,33.4,27.0,field register measurement verified
SM075,P015,2020,3.9,37.9,20.8,21.8,field register measurement verified
SM076,P015,2021,4.1,38.1,24.3,20.6,field register measurement verified
SM077,P015,2022,7.1,49.0,25.6,26.0,field register measurement verified
SM078,P015,2023,8.2,57.7,35.4,27.5,field register measurement verified
SM079,P015,2024,9.8,72.6,36.5,27.4,field register measurement verified
SM080,P016,2020,4.4,32.6,20.4,18.1,field register measurement verified
SM081,P016,2021,5.9,38.1,19.8,21.4,field register measurement verified
SM082,P016,2022,7.8,51.0,24.6,26.1,field register measurement verified
SM083,P016,2023,9.6,67.9,29.2,25.1,field register measurement verified
SM084,P016,2024,8.8,73.9,34.8,26.5,field register measurement verified
SM085,P017,2021,7.3,58.1,25.4,21.1,field register measurement verified
SM086,P017,2022,8.2,70.4,28.1,24.9,field register measurement verified
SM087,P017,2023,10.4,72.2,33.3,25.8,field register measurement verified
SM088,P017,2024,12.4,100.9,37.3,29.4,field register measurement verified
SM089,P018,2021,4.7,46.3,20.2,23.6,field register measurement verified
SM090,P018,2022,7.0,46.3,28.0,25.9,field register measurement verified
SM091,P018,2023,7.6,50.5,32.2,25.0,field register measurement verified
SM092,P018,2024,8.5,60.2,33.3,26.8,field register measurement verified
SM093,P019,2022,6.1,42.0,29.4,23.2,field register measurement verified
SM094,P019,2023,8.5,52.6,30.9,24.1,field register measurement verified
SM095,P019,2024,11.4,74.7,38.0,28.3,field register measurement verified
